Customer_id,Villa_id,dates
1701,55,11/05/18
1706,52,14/09/18
1710,271,11/05/18
1713,146,10/08/18
1715,45,24/08/18
1717,238,14/09/18
1718,154,06/07/18
1719,311,03/08/18
1729,91,04/05/18
1730,307,10/08/18
1740,109,14/09/18
1741,211,12/10/18
1742,122,31/08/18
1752,79,05/10/18
1754,246,20/07/18
1760,52,08/06/18
1762,33,24/08/18
1767,215,15/06/18
1770,89,29/06/18
1775,151,08/06/18
1778,349,12/10/18
1779,91,01/06/18
1782,192,14/09/18
1784,4,01/06/18
1786,125,17/08/18
1787,241,14/09/18
1793,217,18/05/18
1802,99,12/10/18
1806,366,29/06/18
1809,64,22/06/18
1811,350,03/08/18
1815,264,12/10/18
1816,74,14/09/18
1818,253,01/06/18
1819,63,21/09/18
1820,50,12/10/18
1821,210,20/07/18
1822,16,06/07/18
1825,130,15/06/18
1832,320,25/05/18
1833,139,29/06/18
1834,15,31/08/18
1835,42,22/06/18
1836,153,06/07/18
1838,209,27/07/18
1843,327,08/06/18
1845,18,24/08/18
1846,227,08/06/18
1847,156,28/09/18
1856,152,08/06/18
1859,351,11/05/18
1862,279,15/06/18
1863,94,01/06/18
1866,179,29/06/18
1872,43,10/08/18
1874,158,22/06/18
1875,320,04/05/18
1877,220,13/07/18
1878,205,29/06/18
1881,92,17/08/18
1884,143,17/08/18
1885,53,22/06/18
1886,64,03/08/18
1887,337,24/08/18
1890,66,07/09/18
1891,225,05/10/18
1902,105,28/09/18
1903,382,13/07/18
1904,171,18/05/18
1907,53,25/05/18
1910,98,01/06/18
1911,265,08/06/18
1915,337,12/10/18
1920,110,22/06/18
1925,306,08/06/18
1926,262,13/07/18
1927,98,11/05/18
1936,121,03/08/18
1943,11,05/10/18
1945,116,28/09/18
1948,226,03/08/18
1949,340,07/09/18
1950,206,04/05/18
1958,191,03/08/18
1959,245,21/09/18
1961,322,22/06/18
1966,257,22/06/18
1973,189,01/06/18
1974,20,25/05/18
1981,40,21/09/18
1982,60,01/06/18
1983,316,17/08/18
1985,114,22/06/18
1986,380,28/09/18
1987,291,22/06/18
1990,194,25/05/18
1992,380,22/06/18
1993,179,29/06/18
1994,302,31/08/18
1996,115,11/05/18
2000,213,21/09/18
2001,353,24/08/18
2002,151,28/09/18
2004,152,22/06/18
2006,202,29/06/18
2008,92,21/09/18
2009,316,28/09/18
2011,25,01/06/18
2012,331,25/05/18
2018,53,01/06/18
2020,46,03/08/18
2024,361,11/05/18
2026,368,29/06/18
2027,27,11/05/18
2032,26,29/06/18
2034,104,08/06/18
2035,308,12/10/18
2036,24,04/05/18
2038,220,27/07/18
2045,283,10/08/18
2047,288,27/07/18
2050,258,13/07/18
2052,211,27/07/18
2055,84,10/08/18
2057,114,13/07/18
2058,283,24/08/18
2059,154,15/06/18
2060,170,25/05/18
2065,348,06/07/18
2075,170,28/09/18
2077,207,03/08/18
2081,127,05/10/18
2085,181,01/06/18
2088,311,28/09/18
2092,256,03/08/18
2093,349,11/05/18
2095,192,06/07/18
2096,261,20/07/18
2106,147,22/06/18
2108,300,27/07/18
2109,25,01/06/18
2116,34,22/06/18
2117,14,20/07/18
2121,256,13/07/18
2127,238,28/09/18
2130,137,03/08/18
2135,324,25/05/18
2137,52,29/06/18
2144,257,20/07/18
2145,67,12/10/18
2146,267,21/09/18
2157,16,29/06/18
2162,17,03/08/18
2168,21,17/08/18
2170,113,15/06/18
2171,230,03/08/18
2173,292,25/05/18
2174,383,06/07/18
2175,244,04/05/18
2187,108,01/06/18
2188,120,14/09/18
2190,18,10/08/18
2192,112,13/07/18
2194,189,17/08/18
2197,267,21/09/18
2200,287,29/06/18
2201,229,15/06/18
2203,208,07/09/18
2206,204,13/07/18
2217,387,18/05/18
2218,201,27/07/18
2219,16,18/05/18
2223,121,28/09/18
2231,79,27/07/18
2239,115,15/06/18
2242,46,14/09/18
2243,143,12/10/18
2246,158,03/08/18
2247,11,29/06/18
2260,370,01/06/18
2263,139,08/06/18
2265,330,27/07/18
2268,297,07/09/18
2273,194,25/05/18
2274,287,21/09/18
2276,380,03/08/18
2277,137,24/08/18
2279,202,04/05/18
2285,139,10/08/18
2287,265,10/08/18
2288,308,24/08/18
2292,3,25/05/18
2304,117,17/08/18
2318,285,11/05/18
2321,374,25/05/18
2322,214,24/08/18
2323,360,15/06/18
2325,268,27/07/18
2326,125,13/07/18
2329,200,17/08/18
2331,156,29/06/18
2337,306,14/09/18
2339,8,25/05/18
2340,147,17/08/18
2341,190,20/07/18
2346,43,04/05/18
2349,172,13/07/18
2351,361,18/05/18
2352,245,04/05/18
2357,100,21/09/18
2358,92,11/05/18
2363,216,07/09/18
2364,198,25/05/18
2365,86,13/07/18
2369,34,27/07/18
2372,309,25/05/18
2373,235,18/05/18
2374,77,04/05/18
2376,268,07/09/18
2382,177,31/08/18
2383,48,18/05/18
2385,287,05/10/18
2388,196,20/07/18
2390,163,04/05/18
2394,211,04/05/18
2396,117,12/10/18
2400,344,31/08/18
2403,113,10/08/18
2406,33,14/09/18
2407,315,24/08/18
2412,28,08/06/18
2414,363,29/06/18
2415,386,01/06/18
2419,112,17/08/18
2421,188,10/08/18
2423,80,22/06/18
2425,124,01/06/18
2427,297,31/08/18
2428,346,12/10/18
2430,217,06/07/18
2434,280,01/06/18
2439,363,08/06/18
2440,347,21/09/18
2441,374,01/06/18
2443,268,11/05/18
2446,265,13/07/18
2448,277,12/10/18
2449,17,17/08/18
2452,49,01/06/18
2456,266,04/05/18
2458,277,17/08/18
2460,155,25/05/18
2461,202,08/06/18
2467,233,04/05/18
2475,82,17/08/18
2476,387,17/08/18
2480,308,18/05/18
2482,38,29/06/18
2484,177,20/07/18
2487,384,27/07/18
2489,146,13/07/18
2490,199,17/08/18
2494,58,15/06/18
2498,352,11/05/18
2499,145,25/05/18
2500,240,27/07/18
2501,210,15/06/18
2502,37,14/09/18
2503,388,20/07/18
2504,139,03/08/18
2505,186,11/05/18
2509,211,29/06/18
2511,224,28/09/18
2514,308,18/05/18
2519,338,24/08/18
2520,108,14/09/18
2524,221,12/10/18
2526,253,31/08/18
2527,140,28/09/18
2532,108,25/05/18
2533,171,21/09/18
2534,372,17/08/18
2537,46,27/07/18
2539,31,20/07/18
2541,110,28/09/18
2543,327,31/08/18
2544,182,29/06/18
2546,284,27/07/18
2547,96,24/08/18
2550,204,03/08/18
2552,294,25/05/18
2555,172,04/05/18
2557,194,31/08/18
2558,125,15/06/18
2562,372,31/08/18
2564,34,07/09/18
2566,55,17/08/18
2568,275,15/06/18
2575,267,04/05/18
2576,381,03/08/18
2582,57,14/09/18
2585,128,13/07/18
2587,146,13/07/18
2591,118,20/07/18
2592,194,01/06/18
2595,302,08/06/18
2596,101,31/08/18
2598,241,12/10/18
2601,36,20/07/18
2603,203,15/06/18
2609,172,05/10/18
2610,306,21/09/18
2618,104,24/08/18
2625,72,13/07/18
2628,388,12/10/18
2629,160,05/10/18
2634,330,13/07/18
2639,385,31/08/18
2647,215,03/08/18
2651,108,21/09/18
2653,143,15/06/18
2655,145,11/05/18
2657,33,24/08/18
2663,239,14/09/18
2664,109,10/08/18
2671,46,18/05/18
2672,223,31/08/18
2675,333,12/10/18
2676,28,15/06/18
2678,268,24/08/18
2679,283,13/07/18
2680,68,13/07/18
2681,201,07/09/18
2684,208,08/06/18
2685,1,20/07/18
2692,352,13/07/18
2694,239,28/09/18
2695,38,10/08/18
2697,84,08/06/18
2699,344,14/09/18
2702,191,05/10/18
2704,355,31/08/18
2705,154,20/07/18
2706,94,22/06/18
2708,141,13/07/18
2710,73,27/07/18
2712,38,01/06/18
2715,267,27/07/18
2718,79,01/06/18
2719,98,11/05/18
2720,157,21/09/18
2724,342,04/05/18
2725,207,01/06/18
2727,239,25/05/18
2729,106,01/06/18
2733,273,10/08/18
2736,327,01/06/18
2740,50,25/05/18
2743,22,14/09/18
2746,360,17/08/18
2748,275,03/08/18
2752,51,14/09/18
2753,46,14/09/18
2756,109,24/08/18
2757,133,07/09/18
2758,10,04/05/18
2759,359,03/08/18
2760,376,24/08/18
2767,157,24/08/18
2768,325,14/09/18
2772,24,25/05/18
2775,310,24/08/18
2780,226,03/08/18
2784,282,14/09/18
2785,342,25/05/18
2790,194,06/07/18
2793,166,13/07/18
2797,16,15/06/18
2800,307,01/06/18
2801,171,01/06/18
2803,308,05/10/18
2804,192,17/08/18
2805,143,31/08/18
2810,124,10/08/18
2812,204,12/10/18
2814,60,07/09/18
2817,106,14/09/18
2831,252,18/05/18
2834,330,01/06/18
2836,24,27/07/18
2837,342,14/09/18
2839,238,01/06/18
2840,225,17/08/18
2841,328,06/07/18
2842,237,06/07/18
2843,171,27/07/18
2844,384,28/09/18
2845,305,28/09/18
2847,362,06/07/18
2848,347,01/06/18
2850,237,20/07/18
2852,106,27/07/18
2853,150,13/07/18
2855,120,27/07/18
2856,225,27/07/18
2863,350,12/10/18
2868,195,28/09/18
2869,157,13/07/18
2870,253,12/10/18
2872,93,15/06/18
2873,30,13/07/18
2876,197,08/06/18
2877,263,20/07/18
2882,223,14/09/18
2883,243,06/07/18
2895,210,27/07/18
2899,310,27/07/18
2900,298,27/07/18
2904,160,22/06/18
2906,68,10/08/18
2913,386,05/10/18
2915,238,07/09/18
2917,244,24/08/18
2918,126,18/05/18
2920,256,27/07/18
2921,130,29/06/18
2923,44,21/09/18
2926,364,13/07/18
2930,30,10/08/18
2932,239,24/08/18
2936,217,20/07/18
2937,381,05/10/18
2939,49,15/06/18
2941,350,05/10/18
2944,56,08/06/18
2946,52,14/09/18
2951,10,21/09/18
2954,260,10/08/18
2956,43,17/08/18
2960,166,20/07/18
2962,85,22/06/18
2966,385,20/07/18
2967,200,13/07/18
2973,179,27/07/18
2974,200,11/05/18
2978,357,06/07/18
2990,64,20/07/18
2995,199,10/08/18
3001,211,28/09/18
3006,257,05/10/18
3007,123,31/08/18
3009,332,08/06/18
3011,31,03/08/18
3014,341,01/06/18
3018,215,24/08/18
3021,152,24/08/18
3026,145,28/09/18
3031,6,06/07/18
3034,112,17/08/18
3038,53,01/06/18
3040,129,06/07/18
3044,304,07/09/18
3045,25,25/05/18
3064,291,21/09/18
3067,274,11/05/18
3068,5,05/10/18
3075,338,21/09/18
3077,221,31/08/18
3078,375,11/05/18
3079,152,08/06/18
3080,278,27/07/18
3085,275,03/08/18
3087,110,07/09/18
3088,146,31/08/18
3091,186,07/09/18
3093,173,12/10/18
3095,226,11/05/18
3097,179,03/08/18
3098,185,27/07/18
3110,106,22/06/18
3112,144,03/08/18
3113,258,31/08/18
3115,153,21/09/18
3116,183,04/05/18
3121,281,12/10/18
3126,195,31/08/18
3131,358,04/05/18
3132,202,03/08/18
3138,54,04/05/18
3139,179,07/09/18
3144,118,10/08/18
3153,354,29/06/18
3154,258,29/06/18
3159,32,20/07/18
3160,84,22/06/18
3167,1,27/07/18
3169,247,25/05/18
3170,198,24/08/18
3171,304,24/08/18
3174,92,15/06/18
3188,122,05/10/18
3190,256,28/09/18
3191,334,17/08/18
3192,207,14/09/18
3193,97,29/06/18
3194,302,12/10/18
3195,299,12/10/18
3197,54,01/06/18
3198,54,17/08/18
3199,365,31/08/18
3201,112,22/06/18
3204,216,05/10/18
3208,148,24/08/18
3211,256,12/10/18
3215,365,05/10/18
3217,198,06/07/18
3220,164,18/05/18
3222,353,07/09/18
3224,47,18/05/18
3225,49,31/08/18
3226,224,14/09/18
3227,341,15/06/18
3229,295,24/08/18
3236,216,06/07/18
3242,326,10/08/18
3247,191,04/05/18
3249,52,17/08/18
3253,79,06/07/18
3257,227,01/06/18
3258,135,22/06/18
3259,125,15/06/18
3262,266,24/08/18
3268,267,18/05/18
3269,172,24/08/18
3270,164,13/07/18
3271,109,14/09/18
3274,291,21/09/18
3275,325,31/08/18
3276,76,27/07/18
3282,142,06/07/18
3285,341,25/05/18
3287,207,24/08/18
3290,48,21/09/18
3295,140,11/05/18
3298,50,01/06/18
3299,286,21/09/18
3303,253,20/07/18
3306,98,06/07/18
3308,343,10/08/18
3310,248,12/10/18
3314,136,08/06/18
3315,38,08/06/18
3316,70,04/05/18
3317,14,07/09/18
3319,383,01/06/18
3320,195,12/10/18
3327,290,21/09/18
3329,171,15/06/18
3333,186,29/06/18
3344,135,01/06/18
3345,80,29/06/18
3346,282,05/10/18
3349,36,06/07/18
3351,279,13/07/18
3352,280,25/05/18
3357,307,14/09/18
3361,346,25/05/18
3364,68,08/06/18
3368,90,10/08/18
3370,350,28/09/18
3374,31,22/06/18
3379,239,12/10/18
3394,383,25/05/18
3395,201,05/10/18
3397,116,22/06/18
3402,334,13/07/18
3411,325,14/09/18
3417,329,13/07/18
3422,310,06/07/18
3424,297,27/07/18
3428,385,22/06/18
3432,134,07/09/18
3433,147,03/08/18
3439,228,15/06/18
3441,153,20/07/18
3444,251,10/08/18
3445,241,06/07/18
3446,259,27/07/18
3454,312,29/06/18
3462,173,15/06/18
3464,171,21/09/18
3469,273,10/08/18
3473,143,12/10/18
3484,251,10/08/18
3485,54,29/06/18
3487,90,13/07/18
3497,188,20/07/18
3502,107,08/06/18
3504,67,14/09/18
3507,208,06/07/18
3513,8,08/06/18
3516,353,24/08/18
3517,4,24/08/18
3521,293,27/07/18
3525,26,10/08/18
3526,225,29/06/18
3527,169,01/06/18
3529,240,21/09/18
3532,300,29/06/18
3537,229,18/05/18
3545,267,28/09/18
3548,310,18/05/18
3550,334,06/07/18
3552,226,29/06/18
3553,332,08/06/18
3555,254,03/08/18
3556,172,10/08/18
3557,2,15/06/18
3563,341,08/06/18
3568,209,14/09/18
3570,166,04/05/18
3571,243,25/05/18
3572,388,24/08/18
3573,64,17/08/18
3576,1,17/08/18
3582,196,22/06/18
3584,138,11/05/18
3585,342,06/07/18
3589,191,04/05/18
3590,149,07/09/18
3591,78,20/07/18
3593,43,13/07/18
3599,7,08/06/18
3604,326,01/06/18
3607,170,31/08/18
3609,61,17/08/18
3615,284,20/07/18
3617,55,21/09/18
3625,142,31/08/18
3626,97,05/10/18
3633,289,29/06/18
3635,185,08/06/18
3636,21,31/08/18
3637,264,28/09/18
3640,202,20/07/18
3645,181,20/07/18
3646,7,20/07/18
3647,200,27/07/18
3650,45,08/06/18
3653,222,28/09/18
3654,306,28/09/18
3657,290,20/07/18
3658,171,28/09/18
3663,243,20/07/18
3665,337,18/05/18
3666,290,17/08/18
3671,376,22/06/18
3677,55,12/10/18
3680,171,31/08/18
3681,63,24/08/18
3685,221,07/09/18
3689,210,06/07/18
3690,348,29/06/18
3697,184,27/07/18
3703,112,12/10/18
3706,362,24/08/18
3709,106,15/06/18
3710,314,20/07/18
3714,303,18/05/18
3715,282,12/10/18
3718,151,14/09/18
3719,291,15/06/18
3721,93,06/07/18
3726,218,22/06/18
3727,52,22/06/18
3728,14,22/06/18
3730,343,27/07/18
3732,209,17/08/18
3733,176,25/05/18
3736,234,04/05/18
3737,156,17/08/18
3739,201,10/08/18
3740,293,24/08/18
3749,316,07/09/18
3753,48,18/05/18
3760,283,22/06/18
3766,128,31/08/18
3771,129,14/09/18
3774,286,21/09/18
3782,149,31/08/18
3784,1,29/06/18
3785,196,27/07/18
3790,189,18/05/18
3792,18,10/08/18
3793,208,04/05/18
3798,234,31/08/18
3801,55,31/08/18
3802,43,06/07/18
3803,77,27/07/18
3806,347,20/07/18
3809,213,03/08/18
3815,126,24/08/18
3817,143,12/10/18
3821,79,22/06/18
3822,170,05/10/18
3825,91,31/08/18
3826,87,15/06/18
3840,156,11/05/18
3842,106,25/05/18
3844,232,12/10/18
3845,174,07/09/18
3847,299,27/07/18
3860,123,07/09/18
3862,2,03/08/18
3866,128,27/07/18
3867,44,13/07/18
3868,55,08/06/18
3871,251,20/07/18
3872,88,03/08/18
3875,216,22/06/18
3877,181,17/08/18
3879,319,11/05/18
3880,374,18/05/18
3881,184,11/05/18
3882,266,31/08/18
3888,355,14/09/18
3892,81,03/08/18
3895,190,14/09/18
3896,119,08/06/18
3898,166,14/09/18
3901,329,05/10/18
3904,281,25/05/18
3909,197,21/09/18
3913,111,21/09/18
3914,132,24/08/18
3917,78,06/07/18
3918,289,14/09/18
3920,40,13/07/18
3921,345,24/08/18
3922,68,13/07/18
3924,28,21/09/18
3930,4,17/08/18
3938,382,07/09/18
3939,106,03/08/18
3946,76,12/10/18
3947,330,25/05/18
3950,165,15/06/18
3951,291,24/08/18
3954,11,31/08/18
3956,375,18/05/18
3957,179,04/05/18
3959,384,27/07/18
3961,5,21/09/18
3962,305,10/08/18
3963,2,22/06/18
3964,334,11/05/18
3966,345,10/08/18
3969,99,06/07/18
3978,60,10/08/18
3982,284,18/05/18
3983,282,04/05/18
3986,287,22/06/18
3987,297,17/08/18
3988,29,08/06/18
3989,134,11/05/18
3990,289,17/08/18
3994,227,04/05/18
3998,63,31/08/18
4000,171,29/06/18
4001,94,14/09/18
4003,47,08/06/18
4005,180,25/05/18
4007,330,14/09/18
4011,56,25/05/18
4012,259,24/08/18
4013,46,29/06/18
4016,262,28/09/18
4017,30,13/07/18
4018,260,14/09/18
4022,197,29/06/18
4025,147,14/09/18
4030,160,17/08/18
4031,270,20/07/18
4033,146,03/08/18
4035,380,20/07/18
4040,8,14/09/18
4042,372,06/07/18
4044,311,20/07/18
4046,359,14/09/18
4053,107,15/06/18
4055,100,11/05/18
4056,9,08/06/18
4057,182,17/08/18
4068,237,01/06/18
4071,60,07/09/18
4073,230,21/09/18
4074,370,01/06/18
4075,156,11/05/18
4078,314,04/05/18
4079,300,28/09/18
4081,52,04/05/18
4082,340,13/07/18
4085,139,25/05/18
4088,338,01/06/18
4090,83,12/10/18
4092,367,10/08/18
4093,14,17/08/18
4096,234,05/10/18
4097,194,07/09/18
4099,320,07/09/18
4107,45,08/06/18
4112,214,13/07/18
4115,167,11/05/18
4117,342,15/06/18
4119,230,21/09/18
4120,213,28/09/18
4122,127,29/06/18
4127,29,06/07/18
4128,48,31/08/18
4129,176,10/08/18
4130,374,17/08/18
4131,351,31/08/18
4137,279,31/08/18
4138,351,31/08/18
4145,61,06/07/18
4146,281,05/10/18
4149,299,17/08/18
4150,322,28/09/18
4155,249,24/08/18
4157,327,03/08/18
4165,12,14/09/18
4166,340,20/07/18
4170,226,13/07/18
4171,216,31/08/18
4173,278,07/09/18
4175,154,08/06/18
4176,213,07/09/18
4179,286,28/09/18
4181,369,10/08/18
4182,256,05/10/18
4184,310,11/05/18
4190,69,05/10/18
4191,342,12/10/18
4193,182,31/08/18
4194,323,05/10/18
4195,292,03/08/18
4201,239,21/09/18
4202,68,14/09/18
4206,279,04/05/18
4209,372,12/10/18
4210,185,05/10/18
4212,377,22/06/18
4214,306,29/06/18
4216,331,05/10/18
4224,278,13/07/18
4227,145,07/09/18
4234,209,15/06/18
4236,184,18/05/18
4237,142,10/08/18
4238,82,22/06/18
4247,352,24/08/18
4252,315,28/09/18
4254,270,18/05/18
4256,126,08/06/18
4257,245,24/08/18
4259,235,17/08/18
4260,134,08/06/18
4264,314,21/09/18
4271,109,04/05/18
4272,369,13/07/18
4273,93,25/05/18
4275,136,29/06/18
4276,10,27/07/18
4278,164,24/08/18
4280,341,28/09/18
4286,188,22/06/18
4288,289,01/06/18
4289,53,18/05/18
4295,78,04/05/18
4297,135,27/07/18
4298,5,20/07/18
4299,44,20/07/18
4300,59,11/05/18
4301,94,18/05/18
4302,331,13/07/18
4303,314,20/07/18
4304,114,29/06/18
4305,307,11/05/18
4309,108,11/05/18
4311,369,05/10/18
4314,360,14/09/18
4315,355,03/08/18
4318,386,14/09/18
