Villa_id,Villa_Name,Region
188,ANDROMADE,Oia
90,APOLLONIA,Oia
277,ARIADNE,Oia
193,AGAPE,Panormos
61,AKAKALLIS,Panormos
150,AMETHEA,Panormos
302,ANDROMACHE,Panormos
13,ERIS,Panormos
255,EUTHALIA,Panormos
201,EVDOKIA,Panormos
37,AGLAIE,Paros
80,AMYNTA,Paros
93,ASTRAIA,Paros
140,CHARIKLO,Paros
98,DESPOINA,Paros
167,EIRENE,Paros
132,EURYNOME,Paros
217,ADELPHA,Poseidonia
260,DORIS,Poseidonia
168,EIDOTHEA,Poseidonia
47,EUGENEIA,Poseidonia
185,EURYDIKE,Poseidonia
300,EUTERPE,Poseidonia
214,AELLO,Santorini
133,AOEDE,Santorini
4,DANAE,Santorini
308,ELPIDA,Santorini
58,GORGOPHONE,Santorini
321,DORKAS,Schoinousa
208,GIA,Schoinousa
264,ADELFA,Serifos
215,ANEMONE,Serifos
278,ANTHOUSA,Serifos
42,ARISTODEME,Serifos
241,BETHANIA,Serifos
233,GALENE,Serifos
138,ALTHAIA,Sifnos
139,ANTIGONE,Sifnos
172,ELPIS,Sifnos
235,EURYBIA,Sifnos
365,ACHIMAH,Sikinos
15,AKANTHA,Sikinos
116,DAMALI,Sikinos
327,DAREIA,Sikinos
101,DELIA,Sikinos
209,EUPRAXIA,Sikinos
165,APHRODISIA,Tinos
236,ATALANTE,Tinos
284,BETHZATHA,Tinos
204,DEMETER,Tinos
17,ELISSA,Tinos
251,EOS,Tinos
181,AGAUE,Ydrousa
265,ANASTASOULA,Ydrousa
22,DIDO,Ydrousa
148,ELISABET,Amorgos
190,HAGNE,Amorgos
32,HALKYONE,Amorgos
166,HANNA,Amorgos
333,HARMONIA,Amorgos
296,HATHOR,Amorgos
335,HEBE,Anafi
298,HEKABE,Anafi
136,HEKATE,Anafi
234,HELENE,Anafi
258,HELLE,Andros (town)
274,HEMERA,Ano Syros
129,HERA,Ano Syros
336,HERMIONE,Ano Syros
337,HERO,Ano Syros
151,HERODIAS,Ano Syros
198,HESTIA,Antiparos
45,HIPPOLYTE,Antiparos
79,HOSANNA,Antiparos
112,HYDRA,Antiparos
1,HYPATIA,Antiparos
329,IANTHE,Antiparos
77,IEZABEL,Donousa
293,ILITHYIA,Donousa
332,IO,Donousa
64,IOANNA,Donousa
92,IOKASTE,Donousa
316,IOLANTHE,Donousa
378,IOLE,Drymalia
67,IOULIA,Drymalia
137,IPHIGENEIA,Drymalia
23,IRIS,Drymalia
51,ISIDORA,Drymalia
25,ISIS,Ermoupoli
263,ISMENE,Ermoupoli
288,IVA Variant,Ermoupoli
328,JOCASTE,Ermoupoli
388,KALLIGENEIA,Exomvourgo
145,KALLIOPE,Exomvourgo
309,KALLISTE,Exomvourgo
49,KALLISTO,Exomvourgo
367,KALYPSO,Folegandros
354,KANDAKE,Folegandros
104,KARME,Folegandros
156,KASSANDRA,Folegandros
6,KASSIOPEIA,Folegandros
40,KERES,Folegandros
123,KETO,Folegandros
73,KHARIKLO,Ios
155,KHARIS,Ios
65,KHLOE,Ios
299,KHLORIS,Ios
200,KHRYSEIS,Ios
271,KHTHONIA,Ios
355,KIRKE,Ios
7,KLEIO,Irakleia
368,KLEOPATRA,Irakleia
323,KLOTHO,Irakleia
115,KLYMENE,Irakleia
206,KLYTAIMNESTRA,Kea
153,KLYTIE,Kimolos
30,KORA,Kimolos
10,KORE,Kimolos
276,KORI,Kimolos
338,KORINA,Kimolos
109,KORINNA,Kimolos
268,KUMA,Korthio
285,KURIA,Korthio
131,KYBELE,Korthio
196,KYMA,Koufonisia
360,KYNTHIA,Koufonisia
100,KYRA,Koufonisia
76,KYRIAKE,Kythnos
383,KYRIAKI,Kythnos
152,LAKHESIS,Kythnos
118,LALAGE,Kythnos
326,LAMIA,Kythnos
83,LÁRISA,Kythnos
124,LAVRA,Kythnos
325,LEDA,Milos
143,LETO,Milos
126,LEUKOTHEA,Milos
19,LIGEIA,Milos
238,LOIS,Milos
197,LYDIA,Milos
183,LYSANDRA,Milos
106,LYSIMACHE,Mykonos
256,LYSISTRATE,Mykonos
195,MAGDALANA,Mykonos
16,MAIA,Naxos
228,MARGARITES,Naxos
59,MARIA,Naxos
9,MARIAM,Oia
222,MARTHA,Oia
173,MEDEIA,Oia
242,MEDOUSA,Oia
380,MEGAIRA,Oia
71,MELAINA,Panormos
107,MELAINE,Panormos
82,MELETE,Panormos
36,MELINA,Panormos
221,MELISSA,Panormos
345,MELITE,Panormos
313,MELPOMENE,Panormos
318,MINTHE,Paros
379,MNEME,Paros
186,MNEMOSYNE,Paros
213,MYRINA,Paros
301,MYRINE,Paros
314,MYRRINE,Paros
273,NANA,Paros
254,NARKISSA,Poseidonia
289,NATASA,Poseidonia
303,NATASSA,Poseidonia
237,NEMESIS,Poseidonia
120,NEPHELE,Poseidonia
386,NEPHTHYS,Poseidonia
162,NERINE,Santorini
78,NIKE,Santorini
232,NIKEPHOROS,Santorini
63,NIKOLETA,Santorini
370,NYX,Santorini
160,OINONE,Schoinousa
306,OKYRHOE,Schoinousa
85,OLIMPIA,Serifos
14,OLYMPIA,Serifos
357,OLYMPIAS,Serifos
199,OPHELIA,Serifos
114,OURANIA,Serifos
39,PALLAS,Serifos
163,PANAGIOTA,Sifnos
194,PANDORA,Sifnos
154,PARASKEVE,Sifnos
164,PARTHENIA,Sifnos
96,PARTHENOPE,Sikinos
52,PELAGIA,Sikinos
97,PENELOPEIA,Sikinos
353,PERO,Sikinos
110,PERSEPHONE,Sikinos
48,PERSIS,Sikinos
12,PHAIDRA,Tinos
317,PHANESSA,Tinos
216,PHERENIKE,Tinos
86,PHILE,Tinos
342,PHILLIDA,Tinos
21,PHILOMEL,Tinos
182,PHILOMELA,Ydrousa
55,PHILOMENA,Ydrousa
127,PHILYRE,Ydrousa
147,PHOIBE,Ydrousa
304,PHOTINE,Amorgos
275,PHYLLIDA,Amorgos
343,PHYLLIS,Amorgos
211,PLEIONE,Amorgos
292,PODARGE,Amorgos
11,POLONA,Amorgos
226,POLYMNIA,Anafi
344,POLYXENE,Anafi
60,PRISKA,Anafi
122,PRISKILLA,Anafi
220,PROKRIS,Andros (town)
134,PSYKHE,Ano Syros
111,PTOLEMA,Ano Syros
361,REAH,Ano Syros
142,RHAAB,Ano Syros
287,RHACHAB,Ano Syros
56,RHACHEL,Antiparos
29,RHEA,Antiparos
74,RHEBEKKA,Antiparos
192,RHEIA,Antiparos
362,RHODA,Antiparos
119,RHOUTH,Antiparos
243,SALAMA,Donousa
175,SAPPHEIRE,Donousa
158,SAPPHIRA,Donousa
340,SAPPHO,Donousa
33,SARRA,Donousa
381,SATYRION,Donousa
8,SELENE,Drymalia
307,SEMELE,Drymalia
266,SIBYL,Drymalia
330,SIBYLLA,Drymalia
184,SKYLLA,Drymalia
121,SOFIA,Ermoupoli
20,SOFRONIA,Ermoupoli
356,SOPHIA,Ermoupoli
117,SOPHIE,Ermoupoli
229,SOPHRONIA,Exomvourgo
176,SOSTRATE,Exomvourgo
231,SOTIRIA,Exomvourgo
177,SOUSANNA,Exomvourgo
374,SPYRIDOULA,Folegandros
5,STAMATIA,Folegandros
41,SYNTYCHE,Folegandros
207,TABITHA,Folegandros
157,TALITHA,Folegandros
334,TANIS,Folegandros
18,TASOULA,Folegandros
218,TERPSIKHORE,Ios
43,TETHYS,Ios
259,THAIS,Ios
294,THALASSA,Ios
27,THALEIA,Ios
227,THANA,Ios
387,THEA Short,Ios
225,THEKLA,Irakleia
376,THEMIS,Irakleia
171,THEODORA,Irakleia
297,THEODOSIA,Irakleia
223,THEOKLEIA,Kea
35,THEOPHANIA,Kimolos
310,THEOPHILA,Kimolos
312,THERA,Kimolos
141,THETIS,Kimolos
105,THYIA,Kimolos
347,THYONE,Kimolos
324,TIMO,Korthio
170,TIMOTHEA,Korthio
178,TISIPHONE,Korthio
81,TITAIA,Koufonisia
371,TITANIA,Koufonisia
169,TRYPHAINA,Koufonisia
53,TRYPHOSA,Kythnos
95,TYRO,Kythnos
286,VASILIKI,Kythnos
191,XANTHE,Kythnos
295,XANTHIPPE,Kythnos
28,XENA,Kythnos
219,XENE,Kythnos
320,XENIA,Milos
66,ZENA,Milos
280,ZENAIS,Milos
72,ZENIA,Milos
180,ZENOBIA,Milos
331,ZENOVIA,Milos
135,ZEPHYRA,Milos
174,ZOE,Mykonos
102,ZONA,Mykonos
250,ZOSIME,Mykonos
